word,confidence,l,t,r,b,start,scrapedate,date
I,8.792350769042969,1052,600,2132,1745,FALSE,2022-04-23T13:56:37Z,2022-04-01
ASX,96.49724578857422,5159,1286,6088,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
30,95.24147033691406,6272,1286,6838,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
Day,95.24147033691406,7049,1292,7935,1788,FALSE,2022-04-23T13:56:37Z,2022-04-01
Interbank,96.01271057128906,8131,1263,10481,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
Cash,94.6080093383789,10657,1263,11764,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
Rate,95.889373779296875,11998,1292,13049,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
Futures,96.42045593261719,13268,1292,15080,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
Implied,96.31756591796875,15292,1263,17061,1788,FALSE,2022-04-23T13:56:37Z,2022-04-01
Yield,77.7767333984375,17256,1263,18403,1685,TRUE,2022-04-23T13:56:37Z,2022-04-01
Curve,96.518890380859375,18617,1287,19998,1685,FALSE,2022-04-23T13:56:37Z,2022-04-01
ASX,96.5044174194336,1122,1870,2087,2312,FALSE,2022-04-23T13:56:37Z,2022-04-01
As,96.16532135009766,9690,1979,10069,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
at,96.94470977783203,10205,2001,10511,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
market,96.3508529663086,10655,1959,11837,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
close,96.3508529663086,11967,1959,12804,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
on,94.48539733886719,12942,2049,13334,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
"22""",63.618919372558594,13488,1910,14158,2251,FALSE,2022-04-23T13:56:37Z,2022-04-01
April,94.2251968383789,14285,1959,15043,2327,FALSE,2022-04-23T13:56:37Z,2022-04-01
2022,96.97254943847656,15201,1976,16013,2255,FALSE,2022-04-23T13:56:37Z,2022-04-01
AUSTRALIAN,95.09967803955078,592,2415,1302,2512,FALSE,2022-04-23T13:56:37Z,2022-04-01
SECURITIES,96.26873016357422,1367,2414,2006,2512,FALSE,2022-04-23T13:56:37Z,2022-04-01
EXCHANGE,96.37940979003906,2067,2414,2689,2512,FALSE,2022-04-23T13:56:37Z,2022-04-01
3,52.84973907470703,3309,2397,3483,2602,FALSE,2022-04-23T13:56:37Z,2022-04-01
FO,28.89501190185547,3544,2397,3822,2602,FALSE,2022-04-23T13:56:37Z,2022-04-01
3.60,92.46168518066406,3309,2734,3822,2939,FALSE,2022-04-23T13:56:37Z,2022-04-01
3.90,86.2064208984375,3309,3057,3822,3262,FALSE,2022-04-23T13:56:37Z,2022-04-01
340,72.77886962890625,3309,3394,3822,3599,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,13.01397705078125,22266,3189,23645,3819,FALSE,2022-04-23T13:56:37Z,2022-04-01
3.30,79.32608795166016,3309,3716,3822,3922,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,21.807357788085938,3309,4039,3485,4244,FALSE,2022-04-23T13:56:37Z,2022-04-01
36,37.37773895263672,3544,4039,3822,4244,FALSE,2022-04-23T13:56:37Z,2022-04-01
_,45.74700927734375,21167,3834,21783,4156,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,9.4509735107421875,3309,4376,3436,4581,FALSE,2022-04-23T13:56:37Z,2022-04-01
40,72.929779052734375,3565,4376,3822,4581,FALSE,2022-04-23T13:56:37Z,2022-04-01
fi,20.462692260742188,20082,4171,20698,4479,FALSE,2022-04-23T13:56:37Z,2022-04-01
ff,37.50354766845703,21771,4064,22336,4585,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,18.633026123046875,3309,4699,3393,4904,FALSE,2022-04-23T13:56:37Z,2022-04-01
00,19.770057678222656,3544,4699,3822,4904,FALSE,2022-04-23T13:56:37Z,2022-04-01
Za,42.54268264770508,18997,4493,20698,4816,FALSE,2022-04-23T13:56:37Z,2022-04-01
Ou,15.162979125976562,22266,4493,22867,4816,FALSE,2022-04-23T13:56:37Z,2022-04-01
CU,33.117835998535156,23351,4493,23645,4816,FALSE,2022-04-23T13:56:37Z,2022-04-01
60,39.64085388183594,3544,5021,3822,5227,FALSE,2022-04-23T13:56:37Z,2022-04-01
_,27.350242614746094,18997,4831,19598,5139,FALSE,2022-04-23T13:56:37Z,2022-04-01
aff,48.01927947998047,20082,4831,21783,5139,FALSE,2022-04-23T13:56:37Z,2022-04-01
30,40.297645568847656,3544,5359,3822,5564,FALSE,2022-04-23T13:56:37Z,2022-04-01
naar,22.641510009765625,17912,5153,21783,5461,FALSE,2022-04-23T13:56:37Z,2022-04-01
im,4.8225555419921875,22266,5153,22867,5461,FALSE,2022-04-23T13:56:37Z,2022-04-01
«6f,0,23351,5153,23645,5461,FALSE,2022-04-23T13:56:37Z,2022-04-01
so,0,3309,5681,3822,5886,FALSE,2022-04-23T13:56:37Z,2022-04-01
ff,37.745445251464844,17912,5476,19598,5798,FALSE,2022-04-23T13:56:37Z,2022-04-01
x:,3.0805282592773438,20581,5364,21196,5890,FALSE,2022-04-23T13:56:37Z,2022-04-01
hShUr,0,22266,5476,23645,5798,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,51.9161262512207,3309,6004,3390,6209,FALSE,2022-04-23T13:56:37Z,2022-04-01
60,69.50567626953125,3544,6004,3822,6209,FALSE,2022-04-23T13:56:37Z,2022-04-01
nna,32.05659484863281,16812,5813,19598,6121,FALSE,2022-04-23T13:56:37Z,2022-04-01
mm,32.34989929199219,20082,5813,21783,6121,FALSE,2022-04-23T13:56:37Z,2022-04-01
&,27.827560424804688,23351,5813,23645,6121,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,42.31296157836914,3309,6341,3822,6546,FALSE,2022-04-23T13:56:37Z,2022-04-01
nn,35.08641052246094,16812,6136,18513,6444,FALSE,2022-04-23T13:56:37Z,2022-04-01
mm,35.88276672363281,18997,6136,20698,6444,FALSE,2022-04-23T13:56:37Z,2022-04-01
ma,15.536659240722656,22266,6136,22867,6444,FALSE,2022-04-23T13:56:37Z,2022-04-01
s,0,3309,6663,3437,6869,FALSE,2022-04-23T13:56:37Z,2022-04-01
0,0,3612,6663,3822,6869,FALSE,2022-04-23T13:56:37Z,2022-04-01
_,58.16196060180664,15727,6458,16343,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
ttt,48.72936248779297,17912,6458,21783,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
=,74.39985656738281,23351,6458,23645,6781,FALSE,2022-04-23T13:56:37Z,2022-04-01
S30,42.3845100402832,3309,7001,3822,7206,FALSE,2022-04-23T13:56:37Z,2022-04-01
Zam,34.34324645996094,14642,6795,16343,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
nmi,0,16812,6795,21783,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
&,41.622314453125,23351,6795,23645,7103,FALSE,2022-04-23T13:56:37Z,2022-04-01
7,29.812576293945312,2019,7441,2209,7587,FALSE,2022-04-23T13:56:37Z,2022-04-01
530,29.55816650390625,3309,7011,3822,7532,FALSE,2022-04-23T13:56:37Z,2022-04-01
nmr,22.897598266601562,13558,7118,15244,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
mnmHHHh,0,15727,7118,20698,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
hm,67.43629455566406,21167,7118,22867,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
E,38.06074142456055,23351,7118,23645,7426,FALSE,2022-04-23T13:56:37Z,2022-04-01
2,57.78165817260742,2019,7616,2235,7836,FALSE,2022-04-23T13:56:37Z,2022-04-01
or,26.468597412109375,3309,7646,3822,7851,FALSE,2022-04-23T13:56:37Z,2022-04-01
nm,0,13558,7441,15244,7763,FALSE,2022-04-23T13:56:37Z,2022-04-01
mmHHHhhm,0,15727,7441,22867,7763,FALSE,2022-04-23T13:56:37Z,2022-04-01
>,70.99000549316406,2019,7866,2234,8115,FALSE,2022-04-23T13:56:37Z,2022-04-01
5,34.742042541503906,3309,7983,3436,8188,FALSE,2022-04-23T13:56:37Z,2022-04-01
00,85.544464111328125,3567,7983,3822,8188,FALSE,2022-04-23T13:56:37Z,2022-04-01
Zann,5.0064239501953125,12473,7778,15244,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
mnmnmHh,0,15727,7778,20698,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
hm,45.45433807373047,21167,7778,22867,8086,FALSE,2022-04-23T13:56:37Z,2022-04-01
