date,cash_rate,scrape_date
2023-03-01,3.510000000000005,2023-03-10
2023-04-01,3.6650000000000063,2023-03-10
2023-05-01,3.7849999999999966,2023-03-10
2023-06-01,3.8499999999999943,2023-03-10
2023-07-01,3.905000000000001,2023-03-10
2023-08-01,3.944999999999993,2023-03-10
2023-09-01,3.9650000000000034,2023-03-10
2023-10-01,3.9650000000000034,2023-03-10
2023-11-01,3.9549999999999983,2023-03-10
2023-12-01,3.9099999999999966,2023-03-10
2024-01-01,3.905000000000001,2023-03-10
2024-02-01,3.8799999999999955,2023-03-10
2024-03-01,3.8400000000000034,2023-03-10
2024-04-01,3.7950000000000017,2023-03-10
2024-05-01,3.760000000000005,2023-03-10
2024-06-01,3.7099999999999937,2023-03-10
2024-07-01,3.6599999999999966,2023-03-10
2024-08-01,3.625,2023-03-10
