X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,scrape_date
,,,,,,,,,,2022-07-01
AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),AP - SPI 200 (A$25 x SPI200),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Jul 2022,"6,619.0","6,619.0","6,619.0","6,619.0","6,556.0",-13.0,93,1,1,2022-07-01
Aug 2022,-,-,-,-,"6,539.0",-13.0,10,-,-,2022-07-01
Sep 2022,"6,452.0","6,529.0","6,388.0","6,447.0","6,449.0",-12.0,"253,111","4,670","68,265",2022-07-01
Dec 2022,-,-,-,-,"6,450.0",-12.0,405,-,-,2022-07-01
Mar 2023,-,-,-,-,"6,383.0",-12.0,-,-,-,2022-07-01
Jun 2023,-,-,-,-,"6,383.0",-12.0,2,-,-,2022-07-01
Sep 2023,-,-,-,-,"6,316.0",-12.0,-,-,-,2022-07-01
Dec 2023,-,-,-,-,"6,297.0",-12.0,-,-,-,2022-07-01
,,,,,,,,,,2022-07-01
Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,Click here to view settlement price and volume graph,"253,621","4,671","68,266",2022-07-01
,,,,,,,,,,2022-07-01
,,,,,,,,,,2022-07-01
AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),AA - S&P / ASX 200 A-REIT Index (A$25 x Index),2022-07-01
,,,,,,,,,,2022-07-01
Expiry,Open,High,Low,Last,Sett,Sett Chg,Op Int,Op Int Chg,Volume,2022-07-01
,,,,,,,,,,2022-07-01
Sep 2022,"1,344.0","1,344.0","1,337.0","1,337.0","1,337.0",-10.0,"2,846","-1,057","1,948",2022-07-01
Dec 2022,-,-,-,-,"1,337.0",-10.0,-,-,-,2022-07-01
